"","add0","name","s_ratio","g_ratio","c_ratio","p_ratio","final_score","favr"
"1","양구","광치계곡",0.028614458,0.019354839,0.333333333,0.25,60,1
"2","양구","비수구미",0.466114458,0.217741935,0.166666667,0.125,60,1
"3","양구","남전계곡",0.022590361,0.024193548,0.5,0.25,60,1
"4","울주군","석남사 계곡",0.192513369,0.057208238,0.153846154,0.019230769,60,1
"5","파주시","감악산계곡",0.005617978,0.330827068,0,0.444444444,60,1
"6","파주시","적성계곡",0.47752809,0.195488722,1,0.333333333,60,1
"7","파주시","마장리계곡",0.516853933,0.473684211,0,0.222222222,60,1
"8","가평군","용소계곡",0.646012057,0.078352181,0,0.007092199,60,1
"9","홍천","용오름계곡",0.022389205,0.160427807,0,0.224489796,60,1
"10","홍천","수타사계곡",0.031458189,0.278074866,1,0.306122449,60,1
"11","완주군","금당리계곡",3.3507e-05,0.005319149,0,0.4,60,1
"12","서울특별시","우이동계곡",0.502809349,0.103567319,0.25,0.2,60,1
"13","서울특별시","백사실계곡",0.127489361,0.286536249,0.25,0.3,60,1
"14","서울특별시","수성동계곡",0.094806767,0.415420023,0.25,0.5,60,1
"15","남원시","구룡계곡",0.146102453,0.076086957,0.555555556,0.237288136,60,1
"16","남원시","뱀사골계곡",0.466913958,0.461956522,0.222222222,0.254237288,60,1
"17","공주시","동학사계곡",0.83029392,0.825454545,0.432692308,0.375,60,1
"18","공주시","동월계곡",0.090074397,0.050909091,0.432692308,0.375,60,1
"19","화천","만산동계곡",0.05579338,0.076470588,0,0.405405405,63,1
"20","인제","내린천",0.10764294,0.123028391,0.425925926,0.27027027,64,1
"21","산청","청계계곡",0.071230982,0.016835017,0.666666667,0.135338346,64,1
"22","영월","엄둔계곡",0.77042072,0.137697517,0.214285714,0.246753247,67,1
"23","봉화","고선계곡",0.195372751,0.194174757,0,0,67,1
"24","봉화","백천계곡",0.149100257,0.203883495,0,0.2,67,1
"25","가평군","명지계곡",0.094365871,0.237479806,0,0.042553191,69,1
"26","산청","중산리계곡",0.600968188,0.235690236,0,0.338345865,71,1
"27","서울특별시","진관사계곡",0.274894523,0.19447641,0.25,0,71,1
"28","남원시","달궁계곡",0.386983588,0.461956522,0.222222222,0.508474576,73,1
"29","산청","거림계곡",0.060165975,0.101010101,0.25,0.285714286,74,1
"30","울주군","철구소",0.000891266,0.183066362,0.054945055,0.846153846,75,1
"31","완주군","동상계곡",0.183341094,0.377659574,0.625,0.2,76,1
"32","괴산","괴산선유동계곡",0.276315789,0.173160173,0,0.265822785,83,1
"33","영월","법흥계곡",0.004570491,0.139954853,0.285714286,0.311688312,88,1
"34","봉화","사미정계곡",0.06940874,0.058252427,0.5,0,93,1
"35","화천","비수구미계곡",0.791823672,0.794117647,0.5,0.189189189,94,1
"36","봉화","석천계곡",0.570694087,0.466019417,0.5,0.8,104,1
"37","완주군","운주계곡",0.795838801,0.585106383,0.375,0.2,105,1
"38","장수군","지지계곡",0.195056944,0.32,0,0.333333333,114,1
"39","홍천","용소계곡",0.942077301,0.518716578,0,0.306122449,146,1
"40","화천","삼일계곡",0.152382948,0.129411765,0.5,0.405405405,155,1
"41","괴산","갈론계곡",0.259569378,0.108225108,0.857142857,0.101265823,158,1
"42","영월","김삿갓계곡",0.121762569,0.16027088,0.142857143,0.25974026,159,1
"43","울주군","작천정계곡",0.785204991,0.615560641,0.494505495,0.096153846,165,1
"44","장수군","토옥동계곡",0.804943056,0.68,1,0.666666667,165,1
"45","산청","대원사계곡",0.147302905,0.387205387,0,0.045112782,179,1
"46","양구","두타연계곡",0.045933735,0.696774194,0,0.375,199,1
"47","가평군","용추계곡",0.166473452,0.298061389,0,0.014184397,211,1
"48","인제","아침가리계곡",0.282672112,0.284963197,0.037037037,0.087837838,223,1
"49","산청","백운동계곡",0.073997234,0.168350168,0,0.045112782,236,1
"50","인제","백담계곡",0.407526254,0.168243954,0.148148148,0.040540541,262,1
"51","괴산","쌍곡구곡",0.007177033,0.025974026,0.142857143,0.240506329,274,1
"52","양구","천미계곡",0.436746988,0.041935484,0,0,279,1
"53","괴산","화양구곡",0.456937799,0.692640693,0,0.392405063,304,1
"54","영월","어라연계곡",0.010312903,0.180586907,0.142857143,0.038961039,60,2
"55","영월","내리계곡",0.051212938,0.042889391,0.071428571,0.116883117,60,2
"56","인제","진동계곡",0.051925321,0.054679285,0.037037037,0.087837838,60,2
"57","인제","미산계곡",0.047841307,0.068349106,0.018518519,0.135135135,60,2
"58","인제","하추리계곡",0.013710618,0.008412198,0.018518519,0.087837838,60,2
"59","인제","가야동계곡",0.002917153,0.022082019,0,0,60,2
"60","인제","구만동계곡",0.011960327,0.007360673,0.12962963,0.081081081,60,2
"61","인제","수렴동계곡",0,0.03785489,0.092592593,0,60,2
"62","인제","방동계곡",0.006709452,0.005257624,0,0.02027027,60,2
"63","인제","내심적계곡",0.001458576,0.001051525,0,0.006756757,60,2
"64","인제","옥녀탕계곡",0.000291715,0.013669821,0,0.027027027,60,2
"65","인제","추대계곡",0,0.009463722,0,0.121621622,60,2
"66","인제","대승폭포계곡",0.015752625,0.072555205,0,0.006756757,60,2
"67","봉화","반야계곡",0.015424165,0.077669903,0,0,60,2
"68","산청","천내계곡",0.003457815,0,0,0.015037594,60,2
"69","산청","고운동계곡",0.002074689,0.01010101,0.083333333,0.07518797,60,2
"70","울주군","천전리각석계곡",0.017825312,0.016018307,0.131868132,0,60,2
"71","가평군","녹수계곡",0.015650359,0.062197092,0.070754717,0.062411348,60,2
"72","가평군","조종천계곡",0.007071644,0.006462036,0.212264151,0.063829787,60,2
"73","가평군","두밀계곡",0.000985393,0.010500808,0.04245283,0.063829787,60,2
"74","가평군","화악계곡",0.001159286,0.05088853,0,0.019858156,60,2
"75","가평군","귀목계곡",0.001623,0.015347334,0,0.014184397,60,2
"76","가평군","명지계곡유원지",0.00121725,0.00726979,0,0.042553191,60,2
"77","가평군","익근리계곡",0.000695572,0.009693053,0,0.063829787,60,2
"78","가평군","석룡산계곡유원지",5.79643e-05,0.042003231,0.004716981,0.063829787,60,2
"79","가평군","백둔계곡",0.002492465,0.003231018,0.004716981,0.063829787,60,2
"80","가평군","현리계곡",0.00904243,0.01453958,0.070754717,0.063829787,60,2
"81","가평군","큰골계곡",0.001391143,0.008077544,0.141509434,0.063829787,60,2
"82","가평군","유명계곡",0.005100858,0.009693053,0.051886792,0.063829787,60,2
"83","가평군","안골계곡",0.017737074,0.033117932,0.070754717,0.034042553,60,2
"84","가평군","청평계곡",0.019765824,0.012924071,0.141509434,0.056737589,60,2
"85","가평군","현등사계곡",0.000463714,0.019386107,0.04245283,0.063829787,60,2
"86","가평군","고동산계곡",0.000463714,0.01453958,0.141509434,0.063829787,60,2
"87","가평군","장재울계곡",0.000115929,0.001615509,0,0.008510638,60,2
"88","홍천","살둔계곡",0.004075304,0.042780749,0,0.163265306,60,2
"89","완주군","운장산계곡",0.020786598,0.031914894,0,0.2,60,2
"90","공주시","갑사계곡",0.063985288,0.072727273,0.105769231,0.125,60,2
"91","공주시","상신계곡",0.015646395,0.050909091,0.028846154,0.125,60,2
"92","영월","이끼계곡",0.028594867,0.205417607,0.071428571,0,63,2
"93","산청","오봉계곡",0.040802213,0.080808081,0,0.060150376,69,2
"94","울주군","내원암계곡",0.003565062,0.128146453,0.164835165,0.038461538,82,2
"95","가평군","조무락계곡",0.008115001,0.064620355,0.004716981,0.059574468,85,2
"96","영월","연하계곡",0.013125513,0.133182844,0.071428571,0.025974026,111,2
"97","인제","십이선녀탕",0.049591599,0.123028391,0.092592593,0.027027027,153,2
